artist_name,album_name,release_date,snapshot_date
Cardi B,AM I THE DRAMA?,2025-09-19,2025-09-24
Lola Young,I’m Only F**king Myself,2025-09-19,2025-09-24
Bovska,Jestem wierszem,2025-09-19,2025-09-24
Drabusheyka,HYPNOZIZ,2025-09-19,2025-09-24
Zuta,To dopiero początek,2025-09-19,2025-09-24
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,2025-09-27
Pearl Jam,Dark Matter,2024-04-19,2025-09-27
Lucky Daye,HERicane,2024-04-19,2025-09-27
DJ Snake,Teka (with Peso Pluma),2024-04-17,2025-09-27
Anne Wilson,REBEL,2024-04-19,2025-09-27
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,2025-09-27
Pearl Jam,Dark Matter,2024-04-19,2025-09-27
Lucky Daye,HERicane,2024-04-19,2025-09-27
DJ Snake,Teka (with Peso Pluma),2024-04-17,2025-09-27
Anne Wilson,REBEL,2024-04-19,2025-09-27
Miley Cyrus,Something Beautiful,2025-05-30,2025-09-28
Wolf Alice,Bloom Baby Bloom,2025-05-15,2025-09-28
Damiano David,FUNNY little FEARS,2025-05-16,2025-09-28
Morgan Wallen,I’m The Problem,2025-05-16,2025-09-28
PinkPantheress,Fancy That,2025-05-09,2025-09-28
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,2025-09-29
Pearl Jam,Dark Matter,2024-04-19,2025-09-29
Lucky Daye,HERicane,2024-04-19,2025-09-29
DJ Snake,Teka (with Peso Pluma),2024-04-17,2025-09-29
Anne Wilson,REBEL,2024-04-19,2025-09-29
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,2025-09-30
Pearl Jam,Dark Matter,2024-04-19,2025-09-30
Lucky Daye,HERicane,2024-04-19,2025-09-30
DJ Snake,Teka (with Peso Pluma),2024-04-17,2025-09-30
Anne Wilson,REBEL,2024-04-19,2025-09-30
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,2025-10-01
Pearl Jam,Dark Matter,2024-04-19,2025-10-01
Lucky Daye,HERicane,2024-04-19,2025-10-01
DJ Snake,Teka (with Peso Pluma),2024-04-17,2025-10-01
Anne Wilson,REBEL,2024-04-19,2025-10-01
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,2025-10-02
Pearl Jam,Dark Matter,2024-04-19,2025-10-02
Lucky Daye,HERicane,2024-04-19,2025-10-02
DJ Snake,Teka (with Peso Pluma),2024-04-17,2025-10-02
Anne Wilson,REBEL,2024-04-19,2025-10-02
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,2025-10-03
Pearl Jam,Dark Matter,2024-04-19,2025-10-03
Lucky Daye,HERicane,2024-04-19,2025-10-03
DJ Snake,Teka (with Peso Pluma),2024-04-17,2025-10-03
Anne Wilson,REBEL,2024-04-19,2025-10-03
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,2025-10-04
Pearl Jam,Dark Matter,2024-04-19,2025-10-04
Lucky Daye,HERicane,2024-04-19,2025-10-04
DJ Snake,Teka (with Peso Pluma),2024-04-17,2025-10-04
Anne Wilson,REBEL,2024-04-19,2025-10-04
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,2025-10-05
Pearl Jam,Dark Matter,2024-04-19,2025-10-05
Lucky Daye,HERicane,2024-04-19,2025-10-05
DJ Snake,Teka (with Peso Pluma),2024-04-17,2025-10-05
Anne Wilson,REBEL,2024-04-19,2025-10-05
